Rent_price,Bedrooms,Square_meters,Garage,Bathrooms,City,Neighborhood
900,2,70,0,1,Uberlândia,Tubalina
1.500,3,115,2,1,Uberlândia,Daniel Fonseca
15.000,3,310,2,5,Uberlândia,Jardim das Palmeiras
14.000,3,267,4,5,Uberlândia,Nova Uberlândia
14.000,3,267,4,5,Uberlândia,Nova Uberlândia
3.900,4,275,2,3,Uberlândia,Segismundo Pereira
1.000,2,60,1,1,Uberlândia,Tibery
1.150,2,90,1,1,Uberlândia,Aclimação
2.980,3,170,2,2,Uberlândia,Martins
1.500,3,110,0,3,Uberlândia,Jardim Canaã
2.700,2,143,2,2,Uberlândia,Granada
3.400,3,110,2,2,Uberlândia,Luizote de Freitas
28.000,4,800,5,5,Uberlândia,Jardim Sul
4.000,3,180,2,3,Uberlândia,Aclimação
2.200,3,199,2,2,Uberlândia,Daniel Fonseca
6.800,3,280,3,2,Uberlândia,Morada da Colina
14.000,3,315,5,5,Uberlândia,Morada da Colina
22.000,4,520,4,2,Uberlândia,Jardim Karaíba
27.000,5,10,5,5,Uberlândia,Cidade Jardim
7.800,3,230,2,5,Uberlândia,Gávea
14.000,3,360,4,5,Uberlândia,Morada da Colina
2.000,3,110,2,2,Uberlândia,Fundinho
20.000,5,450,5,5,Uberlândia,Lídice
15.000,3,270,3,4,Uberlândia,Granja Marileusa
900,2,55,1,1,Uberlândia,Tubalina
3.200,3,180,2,1,Uberlândia,Planalto
1.600,2,80,0,1,Uberlândia,Custódio Pereira
2.000,3,140,2,1,Uberlândia,Nossa Senhora das Graças
2.000,3,100,0,1,Uberlândia,Brasil
18.000,3,244,2,5,Uberlândia,Granja Marileusa
1.600,3,170,2,1,Uberlândia,Nova Uberlândia
7.000,1,100,1,2,Uberlândia,Lídice
7.000,3,300,3,5,Uberlândia,Tabajaras
10.000,4,270,4,5,Uberlândia,Nova Uberlândia
3.800,3,250,3,3,Uberlândia,Umuarama
2.500,3,90,1,2,Uberlândia,Novo Mundo
4.500,3,300,2,5,Uberlândia,Osvaldo Rezende
3.600,3,125,2,2,Uberlândia,Novo Mundo
3.000,3,125,2,2,Uberlândia,Novo Mundo
2.500,3,120,4,3,Uberlândia,Alto Umuarama
1.600,2,100,1,1,Uberlândia,Centro
4.200,4,239,2,1,Uberlândia,Segismundo Pereira
1.300,2,80,3,1,Uberlândia,Minas Gerais
2.800,3,182,2,2,Uberlândia,Centro
4.000,3,150,2,2,Uberlândia,Aclimação
800,2,45,1,1,Uberlândia,Segismundo Pereira
20.000,5,450,5,1,Uberlândia,Lídice
490,2,25,0,1,Uberlândia,Minas Gerais
2.900,3,220,2,3,Uberlândia,Lídice
3.500,3,174,2,2,Uberlândia,Brasil
1.000,2,60,1,1,Uberlândia,Jardim Patrícia
1.350,2,150,2,1,Uberlândia,Jardim Ipanema
800,3,60,0,2,Uberlândia,Nossa Senhora Aparecida
2.500,3,162,2,3,Uberlândia,Santa Mônica
20.000,5,450,5,5,Uberlândia,Lídice
2.800,3,250,2,3,Uberlândia,Umuarama
14.000,3,267,4,5,Uberlândia,Nova Uberlândia
28.000,5,1000,5,5,Uberlândia,Cidade Jardim
6.000,3,220,1,4,Uberlândia,Saraiva
2.200,3,116,2,2,Uberlândia,Jardim Europa
3.800,3,250,3,3,Uberlândia,Umuarama
1.150,2,70,1,1,Uberlândia,Martins
9.500,4,362,0,4,Uberlândia,Morada da Colina
2.800,2,92,2,3,Uberlândia,Pacaembu
1.300,3,90,1,1,Uberlândia,Residencial Viviane
650,2,60,1,1,Uberlândia,Presidente Roosevelt
900,2,60,1,1,Uberlândia,Custódio Pereira
3.500,3,245,2,3,Uberlândia,Umuarama
1.400,3,90,2,2,Uberlândia,Laranjeiras
1.450,2,60,1,1,Uberlândia,Fundinho
2.200,3,100,1,1,Uberlândia,Santa Mônica
6.000,4,300,0,2,Uberlândia,Santa Mônica
3.200,3,19,1,2,Uberlândia,Tibery
1.500,1,58,1,1,Uberlândia,Custódio Pereira
1.450,3,77,1,2,Uberlândia,Presidente Roosevelt
4.850,5,223,1,3,Uberlândia,Martins
1.650,3,80,0,1,Uberlândia,Nossa Senhora Aparecida
3.500,3,138,2,4,Uberlândia,Novo Mundo
2.200,3,100,1,2,Uberlândia,Tibery
1.200,3,75,1,1,Uberlândia,Tubalina
2.100,3,141,1,2,Uberlândia,Segismundo Pereira
4.800,4,240,3,1,Uberlândia,Presidente Roosevelt
28.000,5,1000,5,5,Uberlândia,Cidade Jardim
800,2,60,1,1,Uberlândia,Brasil
3.800,4,244,3,1,Uberlândia,Santa Mônica
28.000,5,1000,5,5,Uberlândia,Cidade Jardim
700,1,40,0,1,Uberlândia,Taiaman
2.800,3,237,4,2,Uberlândia,Santa Mônica
3.400,3,107,2,2,Uberlândia,Luizote de Freitas
4.200,3,250,5,1,Uberlândia,Santa Mônica
12.000,4,300,3,1,Uberlândia,Morada da Colina
360,1,33,0,1,Uberlândia,Residencial Integração
3.900,2,132,2,2,Uberlândia,Jardim Karaíba
4.500,3,375,4,1,Uberlândia,Saraiva
13.800,4,430,3,4,Uberlândia,Morada da Colina
5.900,3,180,2,4,Uberlândia,Laranjeiras
1.200,1,90,0,1,Uberlândia,Martins
19.000,3,334,2,1,Uberlândia,Nova Uberlândia
10.000,4,450,2,4,Uberlândia,Morada da Colina
15.000,3,310,2,5,Uberlândia,Jardim das Palmeiras
11.500,4,10,4,2,Uberlândia,Morada da Colina
1.900,2,65,1,2,Uberlândia,Santa Rosa
1.000,2,55,1,1,Uberlândia,Jardim Patrícia
15.000,4,311,3,5,Uberlândia,Jardim das Palmeiras
950,2,57,1,1,Uberlândia,Jardim Europa
950,2,40,0,1,Uberlândia,Martins
1.500,2,60,1,1,Uberlândia,Tibery
550,1,38,0,1,Uberlândia,Planalto
12.000,3,218,2,4,Uberlândia,Laranjeiras
1.100,3,70,2,1,Uberlândia,Laranjeiras
980,2,45,1,1,Uberlândia,Laranjeiras
1.400,2,70,1,2,Uberlândia,Minas Gerais
10.000,4,450,2,4,Uberlândia,Morada da Colina
10.000,4,450,2,4,Uberlândia,Morada da Colina
3.800,3,350,3,3,Uberlândia,Umuarama
2.200,3,80,2,2,Uberlândia,Minas Gerais
900,1,70,0,1,Uberlândia,Segismundo Pereira
,3,,1,1,Uberlândia,Osvaldo Rezende
,2,50,1,1,Uberlândia,Brasil
2.300,4,250,2,3,Uberlândia,Laranjeiras
125.000,3,,3,2,Uberlândia,Residencial Integração
700,2,40,0,1,Uberlândia,Centro
880,2,55,0,2,Uberlândia,Martins
2.500,3,160,0,1,Uberlândia,Lídice
600,1,35,0,1,Uberlândia,Centro
1.000,2,45,1,1,Uberlândia,Granada
8.000,3,330,3,2,Uberlândia,Osvaldo Rezende
7.000,4,356,5,5,Uberlândia,Tabajaras
4.000,3,147,3,3,Uberlândia,Segismundo Pereira
14.000,3,360,3,5,Uberlândia,Morada da Colina
4.000,3,250,4,3,Uberlândia,Laranjeiras
700,2,42,1,1,Uberlândia,Segismundo Pereira
4.200,3,240,2,3,Uberlândia,Segismundo Pereira
2.800,3,120,3,1,Uberlândia,Marta Helena
800,2,60,0,1,Uberlândia,Osvaldo Rezende
1.000,2,133,1,1,Uberlândia,Presidente Roosevelt
1.200,3,60,1,2,Uberlândia,Centro
3.200,3,180,2,2,Uberlândia,Tibery
15.000,1,337,2,2,Uberlândia,Lídice
15.000,1,337,2,2,Uberlândia,Lídice
950,1,38,0,1,Uberlândia,Daniel Fonseca
20.000,3,660,4,5,Uberlândia,Morada da Colina
700,1,60,0,1,Uberlândia,Santa Mônica
1.100,2,70,1,1,Uberlândia,Segismundo Pereira
2.500,3,120,1,2,Uberlândia,Cidade Jardim
850,2,60,1,1,Uberlândia,Jardim Brasília
850,2,60,0,1,Uberlândia,Jardim Brasília
1.200,3,80,2,2,Uberlândia,São Jorge
1.400,3,150,2,2,Uberlândia,Lagoinha
9.500,4,210,4,4,Uberlândia,Jardim Botânico
2.500,3,80,2,1,Uberlândia,Laranjeiras
2.500,3,80,2,1,Uberlândia,Laranjeiras
1.900,2,53,1,2,Uberlândia,Santa Rosa
2.800,2,160,5,2,Uberlândia,Tabajaras
4.000,3,200,3,3,Uberlândia,Laranjeiras
1.200,2,55,0,1,Uberlândia,Saraiva
2.700,3,200,3,4,Uberlândia,Cidade Jardim
3.800,4,250,3,4,Uberlândia,Santa Mônica
6.200,4,330,4,5,Uberlândia,Vigilato Pereira
1.700,4,150,1,2,Uberlândia,Nossa Senhora Aparecida
6.000,4,200,2,3,Uberlândia,Cidade Jardim
4.000,1,100,0,1,Uberlândia,Nossa Senhora Aparecida
3.500,3,140,3,2,Uberlândia,Jardim Europa
3.800,3,216,2,2,Uberlândia,Tabajaras
5.000,3,300,4,3,Uberlândia,Osvaldo Rezende
5.900,3,150,2,4,Uberlândia,Laranjeiras
1.100,3,90,1,3,Uberlândia,Jardim Ipanema
800,3,50,0,1,Uberlândia,Guarani
4.500,5,300,2,5,Uberlândia,Vigilato Pereira
1.000,1,60,0,1,Uberlândia,Martins
1.900,2,53,1,1,Uberlândia,Santa Rosa
6.200,4,330,4,5,Uberlândia,Vigilato Pereira
1.400,3,85,2,1,Uberlândia,Tubalina
6.200,4,330,4,5,Uberlândia,Saraiva
4.200,3,220,2,3,Uberlândia,Vigilato Pereira
800,2,60,2,1,Uberlândia,Aclimação
1.900,3,132,1,2,Uberlândia,Santa Mônica
2.800,3,150,2,2,Uberlândia,Vigilato Pereira
1.400,4,80,3,2,Uberlândia,Lídice
1.100,2,87,1,1,Uberlândia,São Jorge
1.500,2,80,1,3,Uberlândia,Centro
1.800,3,123,4,1,Uberlândia,Jardim Brasília
2.200,3,150,2,5,Uberlândia,Lagoinha
2.000,3,90,1,2,Uberlândia,Brasil
1.450,2,50,1,1,Uberlândia,Martins
3.800,4,244,3,4,Uberlândia,Santa Mônica
3.200,3,190,5,3,Uberlândia,Tibery
5.500,1,250,3,4,Uberlândia,Lídice
1.300,3,80,1,1,Uberlândia,Nossa Senhora Aparecida
1.700,2,70,2,2,Uberlândia,Novo Mundo
2.400,3,150,4,2,Uberlândia,Tibery
20.000,4,491,0,5,Uberlândia,Jardim Karaíba
3.600,3,180,3,2,Uberlândia,Mansour
4.000,3,240,3,2,Uberlândia,Fundinho
15.000,4,340,4,5,Uberlândia,Jardim Karaíba
10.000,4,270,4,5,Uberlândia,Nova Uberlândia
1.450,3,150,3,2,Uberlândia,Maravilha
3.500,3,184,2,2,Uberlândia,Cidade Jardim
2.100,3,140,2,2,Uberlândia,Jardim Patrícia
20.000,3,491,4,5,Uberlândia,Jardim Karaíba
1.500,2,63,3,1,Uberlândia,Jardim Canaã
3.800,4,300,5,2,Uberlândia,Segismundo Pereira
3.500,3,250,2,2,Uberlândia,Nossa Senhora Aparecida
950,3,70,3,2,Uberlândia,Jardim das Palmeiras
20.000,4,250,5,1,Uberlândia,Granada
9.000,4,332,2,5,Uberlândia,Granada
1.900,2,53,1,1,Uberlândia,Santa Rosa
800,2,50,1,1,Uberlândia,Osvaldo Rezende
12.000,4,455,4,5,Uberlândia,Nova Uberlândia
950,2,75,1,1,Uberlândia,Martins
850,2,60,1,1,Uberlândia,Marta Helena
800,2,45,0,1,Uberlândia,Bom Jesus
7.000,3,192,2,5,Uberlândia,Jardim Karaíba
2.200,3,98,3,3,Uberlândia,Santa Mônica
2.800,3,130,3,2,Uberlândia,Lagoinha
3.100,3,230,4,2,Uberlândia,Umuarama
5.400,3,200,2,3,Uberlândia,Jardim Karaíba
900,3,81,0,2,Uberlândia,Centro
1.000,3,60,1,2,Uberlândia,Jaraguá
1.700,3,200,2,2,Uberlândia,Nossa Senhora Aparecida
1.400,4,130,3,2,Uberlândia,Lídice
2.800,3,150,3,2,Uberlândia,Brasil
4.900,3,200,2,1,Uberlândia,Planalto
1.800,3,94,5,2,Uberlândia,Santa Mônica
2.800,3,180,3,2,Uberlândia,Brasil
1.800,4,129,2,2,Uberlândia,Jardim Patrícia
1.700,3,80,0,1,Uberlândia,Daniel Fonseca
1.650,3,100,3,1,Uberlândia,Jardim Patrícia
1.250,2,70,0,1,Uberlândia,Taiaman
15.000,4,340,4,5,Uberlândia,Jardim Karaíba
5.000,3,160,3,4,Uberlândia,Granja Marileusa
350,2,1000,5,1,Uberlândia,Tocantins
2.800,3,100,5,1,Uberlândia,Santa Mônica
7.000,3,192,2,5,Uberlândia,Jardim Karaíba
1.300,2,70,1,1,Uberlândia,Marta Helena
1.600,3,130,3,2,Uberlândia,Jaraguá
6.000,4,354,4,1,Uberlândia,Saraiva
1.000,2,45,1,1,Uberlândia,Granada
3.500,4,200,2,1,Uberlândia,Cazeca
1.300,2,80,3,1,Uberlândia,Jardim Europa
3.000,3,190,1,2,Uberlândia,Nossa Senhora Aparecida
8.500,5,408,4,5,Uberlândia,Vigilato Pereira
5.500,3,380,4,3,Uberlândia,Cidade Jardim
5.500,5,10,0,3,Uberlândia,Presidente Roosevelt
12.000,3,221,4,5,Uberlândia,Laranjeiras
3.000,3,83,1,3,Uberlândia,Santa Mônica
2.200,2,90,4,2,Uberlândia,Tibery
2.900,3,200,2,2,Uberlândia,Cazeca
1.000,2,56,1,1,Uberlândia,Pampulha
2.000,2,120,2,2,Uberlândia,Brasil
5.500,5,277,5,1,Uberlândia,Cidade Jardim
12.000,4,650,4,5,Uberlândia,Brasil
5.500,5,277,5,5,Uberlândia,Cidade Jardim
4.000,3,250,2,1,Uberlândia,Lídice
1.400,2,110,2,2,Uberlândia,Taiaman
5.400,3,160,2,3,Uberlândia,Jardim Karaíba
3.400,3,110,2,2,Uberlândia,Luizote de Freitas
2.500,3,233,3,2,Uberlândia,Brasil
880,2,70,1,2,Uberlândia,Lagoinha
1.200,2,50,1,1,Uberlândia,Santa Mônica
2.500,3,125,2,2,Uberlândia,Laranjeiras
1.500,3,,2,1,Uberlândia,Jardim Patrícia
2.400,3,125,3,1,Uberlândia,Cidade Jardim
1.100,2,65,4,1,Uberlândia,Mansour III
3.950,3,,3,4,Uberlândia,Saraiva
2.800,3,289,4,3,Uberlândia,Brasil
1.200,3,90,0,1,Uberlândia,Brasil
3.000,3,130,2,2,Uberlândia,Novo Mundo
1.000,2,133,1,1,Uberlândia,Presidente Roosevelt
2.600,3,168,2,2,Uberlândia,Jardim Brasília
1.412,3,106,1,2,Uberlândia,Aclimação
3.000,3,130,2,2,Uberlândia,Novo Mundo
750,1,35,0,1,Uberlândia,São Jorge
1.700,3,166,1,2,Uberlândia,Brasil
5.000,3,250,3,3,Uberlândia,Segismundo Pereira
8.700,3,175,4,2,Uberlândia,Cidade Jardim
9.000,3,550,4,4,Uberlândia,Morada da Colina
3.500,3,200,2,2,Uberlândia,Centro
4.900,3,130,2,2,Uberlândia,Planalto
1.900,3,130,1,2,Uberlândia,Cidade Jardim
6.500,3,221,5,1,Uberlândia,Planalto
2.300,3,120,4,1,Uberlândia,Nova Uberlândia
1.350,3,76,1,1,Uberlândia,Pacaembu
9.000,3,550,4,4,Uberlândia,Morada da Colina
9.000,3,550,4,4,Uberlândia,Morada da Colina
4.500,3,300,2,4,Uberlândia,Osvaldo Rezende
3.300,3,164,3,2,Uberlândia,Alto Umuarama
1.900,2,53,5,1,Uberlândia,Santa Rosa
3.700,4,,2,5,Uberlândia,Jardim Karaíba
1.750,2,70,2,1,Uberlândia,Granada
1.900,2,65,1,2,Uberlândia,Santa Rosa
1.500,4,120,4,2,Uberlândia,Brasil
700,2,88,1,1,Uberlândia,Tubalina
8.000,3,255,3,1,Uberlândia,Jardim Karaíba
5.500,3,185,3,4,Uberlândia,Vigilato Pereira
750,3,,0,1,Uberlândia,Jardim Brasília
1.000,2,50,1,1,Uberlândia,Lídice
1.200,2,60,4,1,Uberlândia,Presidente Roosevelt
3.000,3,270,1,2,Uberlândia,Osvaldo Rezende
2.800,3,140,5,2,Uberlândia,Brasil
2.000,2,66,2,1,Uberlândia,Pacaembu
8.500,5,400,3,2,Uberlândia,Lídice
1.500,2,62,1,1,Uberlândia,Laranjeiras
12.000,3,370,3,4,Uberlândia,Morada da Colina
1.000,2,95,2,3,Uberlândia,Santa Luzia
16.000,4,300,2,5,Uberlândia,Jardim Botânico
8.000,4,270,2,5,Uberlândia,Jardim das Palmeiras
15.000,3,254,4,4,Uberlândia,Jardim Sul
2.100,3,100,3,1,Uberlândia,Martins
2.500,3,192,2,4,Uberlândia,Cidade Jardim
3.000,3,180,2,3,Uberlândia,Jardim Holanda
2.500,3,236,2,3,Uberlândia,Cidade Jardim
2.500,3,130,2,2,Uberlândia,Cidade Jardim
10.000,3,300,4,5,Uberlândia,Jardim Karaíba
1.100,3,90,0,1,Uberlândia,Tubalina
1.300,2,60,0,1,Uberlândia,Presidente Roosevelt
3.300,3,221,2,2,Uberlândia,Santa Mônica
8.000,3,300,2,2,Uberlândia,Santa Mônica
2.700,3,170,2,1,Uberlândia,Tibery
980,2,64,0,1,Uberlândia,Osvaldo Rezende
15.000,3,254,4,4,Uberlândia,Jardim Sul
15.000,3,254,4,4,Uberlândia,Jardim Sul
1.300,2,80,4,1,Uberlândia,Jardim Europa
8.000,5,367,2,5,Uberlândia,Jardim Karaíba
4.800,3,200,2,3,Uberlândia,Jardim Inconfidência
3.500,3,297,2,4,Uberlândia,Centro
68.000,1,4600,1,1,Uberlândia,Umuarama
2.800,3,146,1,2,Uberlândia,Tubalina
550,1,54,0,1,Uberlândia,Nossa Senhora Aparecida
4.500,1,300,0,3,Uberlândia,Lídice
8.000,1,162,0,2,Uberlândia,Centro
7.000,5,260,3,3,Uberlândia,Vigilato Pereira
5.500,3,230,2,3,Uberlândia,Saraiva
17.000,1,250,0,5,Uberlândia,Martins
11.500,4,450,4,5,Uberlândia,Jardim Karaíba
2.500,2,70,1,2,Uberlândia,Jardim Europa
2.500,3,70,2,2,Uberlândia,Jardim Karaíba
3.000,3,220,2,3,Uberlândia,Vigilato Pereira
3.350,2,140,2,2,Uberlândia,Tabajaras
1.500,5,140,2,3,Uberlândia,Luizote de Freitas
4.500,3,175,4,3,Uberlândia,Segismundo Pereira
5.900,4,185,0,4,Uberlândia,Jardim Karaíba
2.800,3,100,5,1,Uberlândia,Santa Mônica
2.450,3,200,2,2,Uberlândia,Santa Rosa
3.200,3,180,2,3,Uberlândia,Segismundo Pereira
4.000,3,360,4,3,Uberlândia,Santa Mônica
1.300,2,80,2,1,Uberlândia,Jardim Europa
3.800,5,180,2,5,Uberlândia,Fundinho
10.500,4,257,3,4,Uberlândia,Granja Marileusa
8.000,5,367,2,5,Uberlândia,Jardim Karaíba
9.000,4,355,2,5,Uberlândia,Jardim Inconfidência
12.000,3,370,4,5,Uberlândia,Morada da Colina
1.350,3,80,1,2,Uberlândia,Nova Uberlândia
4.900,3,300,3,1,Uberlândia,Santa Mônica
2.200,4,300,2,3,Uberlândia,Osvaldo Rezende
8.000,5,367,2,5,Uberlândia,Jardim Karaíba
2.800,3,200,3,2,Uberlândia,Cidade Jardim
,4,,2,4,Uberlândia,Residencial Integração
,2,,2,1,Uberlândia,Custódio Pereira
3.600,3,180,2,2,Uberlândia,Cidade Jardim
8.335,4,385,4,4,Uberlândia,Lídice
700,1,50,1,1,Uberlândia,Centro
3.500,3,245,4,3,Uberlândia,Tubalina
9.000,4,365,3,3,Uberlândia,Morada da Colina
3.500,3,190,0,3,Uberlândia,Granada
6.000,3,380,2,1,Uberlândia,Lídice
1.600,3,93,1,2,Uberlândia,Santa Mônica
2.500,3,168,3,3,Uberlândia,Planalto
9.500,5,294,4,5,Uberlândia,Morada da Colina
4.000,5,180,2,4,Uberlândia,Fundinho
0,1,,0,1,Uberlândia,Bom Jesus
2.200,2,170,1,2,Uberlândia,Santa Mônica
670,2,63,0,1,Uberlândia,Presidente Roosevelt
2.600,3,90,0,1,Uberlândia,Lídice
2.800,4,289,4,2,Uberlândia,Brasil
3.500,3,180,2,3,Uberlândia,Jardim Europa
4.000,5,180,2,4,Uberlândia,Fundinho
4.000,5,180,2,4,Uberlândia,Fundinho
15.000,3,460,2,4,Uberlândia,Jardim Sul
4.300,4,368,3,2,Uberlândia,Tabajaras
2.000,3,168,2,3,Uberlândia,Taiaman
1.300,2,80,2,1,Uberlândia,Jardim Europa
14.500,5,570,5,2,Uberlândia,Morada do Sol
1.500,3,80,1,1,Uberlândia,Bom Jesus
5.000,3,300,2,5,Uberlândia,Saraiva
2.000,2,90,5,1,Uberlândia,Jardim Colina
2.200,2,100,2,3,Uberlândia,Jardim Colina
3.200,3,90,2,2,Uberlândia,Bosque dos Buritis
2.700,3,150,2,2,Uberlândia,Tibery
650,3,76,0,1,Uberlândia,Pacaembu
800,1,32,2,1,Uberlândia,Presidente Roosevelt
3.800,3,190,3,2,Uberlândia,Cidade Jardim
9.500,4,362,4,1,Uberlândia,Morada da Colina
18.000,3,350,4,1,Uberlândia,Gávea
12.000,3,200,2,1,Uberlândia,Nova Uberlândia
6.000,2,190,4,3,Uberlândia,Vigilato Pereira
13.000,4,400,5,5,Uberlândia,Cidade Jardim
12.000,3,10,2,1,Uberlândia,Nova Uberlândia
16.000,4,300,2,2,Uberlândia,Jardim Botânico
400,1,35,0,1,Uberlândia,Presidente Roosevelt
3.500,3,243,2,2,Uberlândia,Tubalina
5.900,3,280,2,1,Uberlândia,Lídice
4.000,3,210,1,3,Uberlândia,Granada
1.850,2,80,3,1,Uberlândia,Bosque dos Buritis
4.800,3,287,2,2,Uberlândia,Cidade Jardim
2.500,2,120,2,2,Uberlândia,Aclimação
11.950,4,10,4,3,Uberlândia,Jardim Karaíba
8.000,4,253,2,4,Uberlândia,Jardim Colina
4.500,3,180,3,2,Uberlândia,Jardim Patrícia
3.000,3,110,2,2,Uberlândia,Santa Mônica
12.500,4,300,2,3,Uberlândia,Nova Uberlândia
7.000,4,270,4,2,Uberlândia,Jardim Karaíba
14.500,4,10,3,2,Uberlândia,Gávea
5.800,4,240,2,5,Uberlândia,Morada da Colina
3.800,3,150,2,3,Uberlândia,Cidade Jardim
10.000,4,350,4,4,Uberlândia,Osvaldo Rezende
3.200,3,181,2,3,Uberlândia,Santa Mônica
1.200,2,100,1,2,Uberlândia,Jaraguá
2.800,3,180,3,2,Uberlândia,Granada
6.500,4,330,4,5,Uberlândia,Vigilato Pereira
8.500,3,352,4,1,Uberlândia,Vigilato Pereira
4.200,3,200,4,3,Uberlândia,Alto Umuarama
3.500,3,200,2,3,Uberlândia,Nossa Senhora Aparecida
3.900,3,180,0,2,Uberlândia,Planalto
5.400,3,120,3,1,Uberlândia,Jardim Karaíba
950,1,38,0,1,Uberlândia,Daniel Fonseca
9.800,3,300,3,5,Uberlândia,Aclimação
1.100,2,75,1,1,Uberlândia,Segismundo Pereira
2.800,3,200,2,2,Uberlândia,Umuarama
5.400,3,120,2,4,Uberlândia,Jardim Karaíba
9.500,4,362,2,5,Uberlândia,Morada da Colina
4.000,3,235,4,1,Uberlândia,Tubalina
3.800,5,180,2,1,Uberlândia,Fundinho
3.800,3,140,3,2,Uberlândia,Planalto
1.000,3,68,1,1,Uberlândia,Jardim Canaã
1.000,2,70,1,1,Uberlândia,Saraiva
800,1,3,1,1,Uberlândia,Marta Helena
4.900,3,200,2,2,Uberlândia,Planalto
5.000,3,120,1,2,Uberlândia,Lídice
900,2,90,1,2,Uberlândia,Pacaembu
7.000,3,220,2,1,Uberlândia,Jardim Colina
2.700,3,120,1,2,Uberlândia,Tibery
2.000,3,150,2,3,Uberlândia,Marta Helena
2.200,2,100,5,2,Uberlândia,Tibery
1.350,3,158,2,2,Uberlândia,Jaraguá
2.800,3,140,2,2,Uberlândia,Tubalina
1.200,2,90,0,2,Uberlândia,Tibery
2.200,2,160,0,1,Uberlândia,Morada da Colina
3.500,3,196,2,1,Uberlândia,Nossa Senhora Aparecida
2.200,2,183,0,2,Uberlândia,Lídice
2.800,3,289,3,3,Uberlândia,Brasil
2.800,3,250,5,2,Uberlândia,Centro
3.400,3,107,2,1,Uberlândia,Luizote de Freitas
1.300,3,90,0,1,Uberlândia,Custódio Pereira
1.800,3,130,1,1,Uberlândia,Cidade Jardim
2.100,3,160,3,2,Uberlândia,Marta Helena
12.500,4,231,2,5,Uberlândia,Grand Ville
8.700,3,530,4,4,Uberlândia,Cidade Jardim
2.500,4,200,5,4,Uberlândia,Daniel Fonseca
2.000,3,80,0,3,Uberlândia,Santa Rosa
3.900,3,201,2,2,Uberlândia,Tubalina
8.700,3,270,2,4,Uberlândia,Jardim Inconfidência
2.700,4,184,3,3,Uberlândia,Brasil
1.800,3,146,1,2,Uberlândia,Umuarama
5.400,3,159,2,3,Uberlândia,Jardim Karaíba
,1,,0,,Uberlândia,Pacaembu
2.000,5,200,2,4,Uberlândia,Cidade Jardim
2.200,1,74,1,2,Uberlândia,Morada da Colina
6.000,3,220,2,5,Uberlândia,Jardim Inconfidência
